,permit_number,permit_subtype,date_entered,date_issued,business_name,zip,latitude,longitude,permit_duration
77,19-26254,ONSALES,2019-09-09,2019-12-03,EL MOJITO MEXICAN RESTAURANT,37214,36.151177,-86.666565,606 days
78,20-26848,ONSALES,2020-07-08,2020-09-10,CRAFTSMAN ON THE HILL,37076,36.189374,-86.627624,324 days
79,18-25782,ONSALES,2018-11-28,2019-12-05,STEAMBOYS,37208,36.177161,-86.784786,604 days
80,20-26781,ONSALES,2020-05-21,2020-09-10,CRACKER BARREL OLD COUNTRY STORE #26,37204,36.082864,-86.761533,324 days
81,19-25986,ONSALES,2019-04-22,2019-07-18,"LA ESTRELLA, LLC",37076,36.19143,-86.625042,744 days
82,02-17877,ONSALES,2002-01-23,2002-02-14,Richland Country Club,37215,36.050318,-86.823148,7107 days
83,19-26131,ONSALES,2019-07-09,2019-12-05,CRAB FEVER,37203,36.152008,-86.798026,604 days
84,19-26357,ONSALES,2019-11-07,2019-12-05,MARATHON MUSIC WORKS,37203,36.164075,-86.796769,604 days
85,19-26042,ONOFFSALES,2019-05-20,2019-07-19,THE DONELSON PUB,37214,36.150622,-86.665709,743 days
86,19-26062,ONSALES,2019-05-28,2019-07-25,Cafe Fontanella,37189,36.257139,-86.830209,737 days
87,19-26100,ONSALES,2019-06-24,2019-07-25,LAVO LOUNGE,37211,36.085349,-86.690568,737 days
88,19-26053,ONSALES,2019-05-22,2019-07-25,SUPERICA,37203,36.151472,-86.782369,737 days
89,19-26206,ONSALES,2019-08-15,2019-09-04,JOE'S PLACE,37215,36.105036,-86.819089,696 days
90,19-26075,SPECIAL,2019-06-04,2019-07-25,ST. JOSEPH CATHOLIC CHURCH - AROUND THE WORLD FESTIVAL,37115,36.245427,-86.721932,737 days
91,19-26222,ONSALES,2019-08-26,2019-12-06,RED PHONE BOOTH,37203,36.16001,-86.782818,603 days
92,20-26879,ONSALES,2020-08-13,2020-09-15,EL FUEGO RESTAURANT,37216,36.217615,-86.72847,319 days
93,21-27083,ONOFFSALES,2021-02-15,2021-05-14,BIG MACHINE BREWERY & DISTILLERY,37201,36.160801,-86.77548,78 days
94,19-26294,ONSALES,2019-10-01,2019-12-11,RED LINE BAR &GRILL,37221,36.076626,-86.922368,598 days
95,19-25947,ONOFFSALES,2019-03-22,2020-09-16,Yee-Haw Brewing & White Duck Taco,37203,36.155092,-86.776767,318 days
96,19-26392,ONSALES,2019-12-06,2020-09-24,OTTO'S,37209,36.152326,-86.838167,310 days
97,20-26417,ONSALES,2020-01-06,2020-09-24,ANDREW JACKSON'S HERMITAGE,37076,36.212821,-86.611722,310 days
98,19-26033,ONOFFSALES,2019-05-16,2019-07-26,Slim & Husky's Antioch,37013,36.048084,-86.656445,736 days
99,19-25994,ONSALES,2019-04-25,2019-07-26,PUPUSERIA REINA LA BENDICION #2,37217,36.125058,-86.708852,736 days
100,05-18322,ONSALES,2005-02-10,2005-04-14,Cinco De Mayo,37209,36.149039,-86.857894,5952 days
101,19-26056,ONSALES,2019-05-23,2019-09-06,Live Bar & Grill,37115,36.262431,-86.678172,694 days
102,19-26336,ONSALES,2019-10-28,2020-05-14,GRADUATE NASHVILLE HOTEL,37203,36.151379,-86.799329,443 days
103,19-26300,ONSALES,2019-10-02,2020-05-14,AMERICAN LEGION POST 88,37214,36.160593,-86.661004,443 days
104,20-26504,ONSALES,2020-02-18,2020-05-14,"LOS TRES AMIGOS #2, LLC",37214,36.157301,-86.635113,443 days
105,20-26531,ONSALES,2020-03-09,2020-05-14,THIRD AND HOME,37201,36.172543,-86.78311,443 days
106,20-26437,ONSALES,2020-01-17,2020-05-15,BURGER AND CO,37138,36.263837,-86.647735,442 days
107,20-26481,ONSALES,2020-02-07,2020-05-20,GLEN CAMPBELL MUSEUM AND RHINESTONE STAGE,37201,36.162036,-86.774916,437 days
108,19-26055,SPECIAL,2019-05-22,2019-08-06,VANDERBILT FOOTBALL ALUMNI TAILGATE,37212,36.142887,-86.808355,725 days
109,19-26060,ONSALES,2019-05-24,2019-09-06,B1281,37210,36.141876,-86.763414,694 days
110,19-26211,ONSALES,2019-08-21,2019-09-12,THE PARTY LINE,37201,36.160351,-86.775582,688 days
111,19-26136,ONSALES,2019-07-09,2019-08-08,HOLIDAY INN NASHVILLE VANDERBILT,37203,36.145499,-86.81146,723 days
112,19-26151,ONSALES,2019-07-17,2019-08-08,NORTH ITALIA,37215,36.108462,-86.814224,723 days
113,19-26047,ONSALES,2019-05-20,2019-08-08,SAINT A�EJO,37203,36.155867,-86.78605,723 days
114,19-26122,ONSALES,2019-06-28,2019-12-13,BURGER JOINT,37209,36.166099,-86.855526,596 days
115,19-26086,ONSALES,2019-06-10,2019-12-13,"I LOVE LOU, LLC",37216,36.204353,-86.725358,596 days
116,20-26856,ONSALES,2020-07-15,2020-09-25,TNT'S BILLIARDS BAR AND GRILL,37013,36.045921,-86.658209,309 days
117,20-26454,ONSALES,2020-01-27,2020-09-25,HOOKS SEAFOOD KITCHEN,37221,36.074642,-86.920313,309 days
118,15-20215,ONSALES,2015-04-14,2015-12-03,Bar Sovereign,37203,36.154863,-86.774734,2067 days
119,19-26302,ONSALES,2019-10-04,2019-12-19,EXIT/IN/HURRY BACK,37203,36.151168,-86.804279,590 days
120,19-26266,ONSALES,2019-09-17,2019-12-19,DIVERSE ENTERPRISE INC.,37207,36.232291,-86.781484,590 days
121,19-26235,ONSALES,2019-08-29,2019-12-19,THE DOGWOOD NASHVILLE,37203,36.150052,-86.796451,590 days
122,20-26518,ONSALES,2020-02-26,2020-09-28,3000 BAR NASHVILLE,37203,36.153012,-86.789791,306 days
123,20-26827,ONSALES,2020-06-25,2020-09-28,THE BASEMENT,37203,36.137102,-86.778792,306 days
124,19-26143,SPECIAL,2019-07-12,2019-08-09,PIGS4KIDS,37206,36.18982,-86.705578,722 days
125,19-26142,ONSALES,2019-07-11,2019-08-09,Hampton Inn & Suites Nashville Downtown,37201,36.157834,-86.775099,722 days
126,19-26129,ONSALES,2019-07-08,2019-08-09,STEAMBOYS AT HERMITAGE,37076,36.195666,-86.621645,722 days
127,19-26374,ONSALES,2019-11-25,2019-12-20,FABLE LOUNGE,37203,36.146025,-86.813086,589 days
128,19-26345,ONSALES,2019-11-04,2020-05-28,Element-Nashville Airport,37214,36.148312,-86.664568,429 days
129,19-26065,ONOFFSALES,2019-05-29,2019-09-13,ROCK'N DOUGH PIZZA & BREWERY,37207,36.245946,-86.756528,687 days
130,19-26223,ONSALES,2019-08-26,2019-09-13,WHITE BISON #6050,37209,36.163247,-86.850722,687 days
131,20-26512,ONSALES,2020-02-21,2020-05-29,FIRECRACKER'S PIZZA,37080,36.321218,-86.86682,428 days
132,19-26376,ONSALES,2019-11-26,2020-06-01,D&D EVENTS,37203,36.135502,-86.760713,425 days
133,19-25876,ONSALES,2019-02-12,2019-09-13,EL METATE,37207,36.204336,-86.768974,687 days
134,19-26184,ONSALES,2019-08-01,2019-09-13,HAIWOONDAI,37013,36.068849,-86.683654,687 days
135,21-27119,SPECIAL,2021-03-14,2021-05-14,CORNELIA FORT PICKIN' PARTY - FRIENDS OF SHELBY PARK,37206,36.190136,-86.705973,78 days
136,19-26252,ONSALES,2019-09-09,2020-01-09,FORD ICE CENTER BELLEVUE,37221,36.078871,-86.95163,569 days
137,19-26327,ONSALES,2019-10-21,2020-01-09,Caffe Nonna,37209,36.140985,-86.839539,569 days
138,19-26130,ONSALES,2019-07-08,2020-01-09,PANCHO & LEFTY�S CANTINA,37209,36.141022,-86.84052,569 days
139,19-26188,SPECIAL,2019-08-06,2019-09-16,CELEBRATE NASHVILLE CULTURAL FESTIVAL,37203,36.146893,-86.808533,684 days
140,19-26028,ONOFFSALES,2019-05-14,2019-09-17,DOC HOLLIDAY'S SALOON,37201,36.162357,-86.775482,683 days
141,19-25903,ONSALES,2019-02-28,2020-01-09,E3 CHOPHOUSE,37212,36.13827,-86.800696,569 days
142,19-26368,ONSALES,2019-11-21,2020-01-09,HOLIDAY INN EXPRESS NASHVILLE AIRPORT,37214,36.143947,-86.66367,569 days
143,20-26426,ONSALES,2020-01-14,2020-06-03,THE BOWERY VAULT,37216,36.202679,-86.73897,423 days
144,19-26141,ONOFFSALES,2019-07-10,2019-10-01,THE LOCAL DISTRO,37208,36.181208,-86.794852,669 days
145,19-26225,ONOFFSALES,2019-08-27,2019-09-26,LOS TORITOS MEXICAN RESTAURANT MIDTOWN GULCH,37203,36.151437,-86.787484,674 days
146,19-26152,ONSALES,2019-07-17,2019-09-26,AMC BELLEVUE 12,37221,36.080013,-86.944482,674 days
147,19-25942,ONOFFSALES,2019-03-15,2020-01-10,LIVING WATERS BREWING COMPANY LLC,37216,36.203911,-86.741344,568 days
148,19-26282,ONSALES,2019-09-25,2020-01-10,CINCO DE MAYO MEXICAN RESTAURANT,37206,36.177126,-86.745928,568 days
149,19-26386,ONSALES,2019-12-04,2020-01-10,JUICY SEAFOOD,37216,36.197969,-86.741504,568 days
150,19-26337,ONSALES,2019-10-28,2020-01-13,DOUBLETREE BY HILTON HOTEL NASHVILLE DOWNTOWN,37219,36.165393,-86.780063,565 days
151,19-26218,SPECIAL,2019-08-26,2019-09-13,GRAND TASTE,37219,36.168308,-86.785851,687 days
152,17-25070,ONSALES,2017-05-30,2017-07-06,MIEL RESTAURANT,37209,36.151327,-86.851113,1486 days
153,20-26972,ONSALES,2020-11-11,2021-05-14,AGAVES MEXICAN RESTAURANT,37205,36.123953,-86.849031,78 days
154,19-26388,ONOFFSALES,2019-12-05,2020-01-22,WILLIE'S MEMORIES BAR,37080,36.325268,-86.915144,556 days
155,19-26210,SPECIAL,2019-08-21,2019-09-27,NASHVILLE FILM FESTIVAL,37204,36.111899,-86.763171,673 days
156,19-25969,ONSALES,2019-04-09,2019-09-27,LA DELICIA MEXICAN RESTAURANT,37211,36.083022,-86.702561,673 days
157,19-26169,ONOFFSALES,2019-07-24,2019-09-30,DRURY INN & SUITES NASHVILLE AIRPORT,37214,36.145158,-86.666724,670 days
158,19-26070,ONSALES,2019-05-30,2019-10-01,SAMURAI KITCHEN,37208,36.177498,-86.791023,669 days
159,20-26473,ONOFFSALES,2020-02-05,2020-03-25,TNFOLD LLC,37214,36.169127,-86.68185,493 days
160,19-26219,SPECIAL,2019-08-26,2019-09-13,HARVEST NIGHT,37201,36.160067,-86.776551,687 days
161,19-26220,SPECIAL,2019-08-26,2019-09-13,GOSPEL BRUNCH,37201,36.160067,-86.776551,687 days
162,19-26202,ONSALES,2019-08-14,2019-10-10,SOUTH SIDE PUB & Kitchen,37211,36.127134,-86.753267,660 days
163,19-26332,ONSALES,2019-10-23,2020-01-10,MUSIC CITY BAR AND GRILL,37214,36.218524,-86.695398,568 days
164,19-26365,ONOFFSALES,2019-11-19,2020-03-06,THE MEAT ROOM,37204,36.121465,-86.79036,512 days
165,19-26250,SPECIAL,2019-09-06,2019-10-03,VU REUNION WEEKEND,37212,36.149018,-86.804142,667 days
166,19-26251,SPECIAL,2019-09-06,2019-10-03,VANDERBILT LAW SCHOOL REUNION,37212,36.148459,-86.799737,667 days
167,20-26452,ONSALES,2020-01-24,2020-02-18,THAI NI YOM,37209,36.152527,-86.832501,529 days
168,19-26359,ONOFFSALES,2019-11-12,2020-01-22,NOBLES,37206,36.177925,-86.752119,556 days
169,19-26145,ONSALES,2019-07-12,2019-08-29,"312 PIZZA COMPANY, LLC",37208,36.177203,-86.787912,702 days
170,19-26284,ONSALES,2019-09-25,2020-06-11,PINS MECHANICAL COMPANY,37203,36.158359,-86.787847,415 days
171,19-26375,ONOFFSALES,2019-11-25,2020-01-23,CAMBRIA NASHVILLE DOWNTOWN,37203,36.157572,-86.781274,555 days
172,20-26410,SPECIAL,2020-01-02,2020-01-23,"THE BELCOURT THEATRE, INC",37212,36.136708,-86.801639,555 days
173,20-26412,ONSALES,2020-01-03,2020-01-23,Class Axe,37115,36.255705,-86.715856,555 days
174,19-26296,ONSALES,2019-10-02,2020-01-24,LOS PORTALES MEXICAN RESTAURANT,37013,36.009522,-86.701677,554 days
175,19-26346,ONSALES,2019-11-05,2020-01-30,Coneheads and Plane Jane,37207,36.195548,-86.772099,548 days
176,19-26256,ONSALES,2019-09-10,2020-01-31,LA VILLA MEXICAN GRILL AND SEAFOOD,37217,36.088421,-86.649583,547 days
177,20-26761,ONSALES,2020-04-29,2020-06-11,THE JUNCTION PUB & GRILL,37217,36.126041,-86.710145,415 days
178,19-26372,SPECIAL,2019-11-22,2020-02-04,Zoo Run Run,37211,36.091149,-86.734904,543 days
179,19-26257,SPECIAL,2019-09-10,2019-10-04,SOUTHERN FESTIVAL OF BOOKS,37219,36.164663,-86.782752,666 days
180,19-26083,ONSALES,2019-06-10,2019-10-07,CAFE MAKAI,37212,36.13616,-86.789553,663 days
181,20-26899,ONSALES,2020-08-31,2020-10-08,LARRY'S RESTAURANT AND LOUNGE,37217,36.075475,-86.639556,296 days
182,20-26852,ONSALES,2020-07-12,2020-10-08,RIVERSIDE GOLF LINKS,37138,36.2669,-86.67025,296 days
183,20-26749,ONOFFSALES,2020-04-21,2020-10-08,TOWNEPLACE SUITES NASHVILLE DOWNTOWN,37201,36.168705,-86.780939,296 days
184,19-26032,ONSALES,2019-05-16,2019-10-10,OZ ARTS NASHVILLE,37209,36.179653,-86.891933,660 days
185,18-25743,ONSALES,2018-10-23,2019-10-10,CHOPPER,37206,36.182695,-86.748754,660 days
186,19-26234,ONSALES,2019-08-29,2019-10-10,MARGARITAVILLE HOTEL NASHVILLE,37203,36.155686,-86.775281,660 days
187,19-26096,ONSALES,2019-06-20,2019-10-10,360 BISTRO,37205,36.097637,-86.872814,660 days
188,19-26204,ONSALES,2019-08-14,2019-10-10,Nicoletto's Italian Kitchen,37212,36.136813,-86.802843,660 days
189,19-26094,ONSALES,2019-06-13,2020-02-13,VUI'S KITCHEN HUNTERS,37206,36.178006,-86.751931,534 days
190,19-26331,ONSALES,2019-10-22,2020-02-13,THAI PAPAYA RESTAURANT,37211,36.087013,-86.693254,534 days
191,19-26196,ONOFFSALES,2019-08-12,2020-02-13,THE PICNIC TAP HUNTERS LLC,37206,36.178006,-86.751931,534 days
192,19-26224,ONSALES,2019-08-27,2020-02-13,BAR Y BILLAR LOS PAISANO,37013,36.068906,-86.6837,534 days
193,19-26092,ONSALES,2019-06-13,2020-02-13,CITIZEN MARKET,37206,36.178006,-86.751931,534 days
194,19-26267,ONOFFSALES,2019-09-18,2020-02-13,GREEK STYLE GYRO,37115,36.293169,-86.702346,534 days
195,19-26093,ONSALES,2019-06-13,2020-02-13,TACOS AURORA,37206,36.178006,-86.751931,534 days
196,20-26741,ONSALES,2020-04-15,2020-06-12,OSCAR'S TACO SHOP #22,37203,36.149171,-86.806471,414 days
197,20-26433,ONOFFSALES,2020-01-16,2020-02-14,HYATT HOUSE NASHVILLE DOWNTOWN/SOBRO,37203,36.153941,-86.774162,533 days
198,20-26434,ONSALES,2020-01-17,2020-02-14,PANCA PERUVIAN RESTAURANT,37211,36.086006,-86.729257,533 days
199,20-26887,ONSALES,2020-08-20,2020-10-08,SONNY'S PATIO PUB & REFUGE,37208,36.177498,-86.791023,296 days
200,20-26752,ONOFFSALES,2020-04-22,2020-10-08,TOWNEPLACE SUITES NASHVILLE DOWNTOWN,37201,36.168705,-86.780939,296 days
201,17-25262,ONSALES,2017-09-28,2018-03-29,NOELLE NASHVILLE,37219,36.163864,-86.779046,1220 days
202,19-26366,ONSALES,2019-11-21,2020-02-19,KING SIAM THAI CUISINE INC,37203,36.146726,-86.785902,528 days
203,16-20289,ONSALES,2015-11-17,2016-05-13,Steadfast Fine Coffee,37208,36.177683,-86.792037,1905 days
204,20-26482,ONSALES,2020-02-07,2020-06-26,"Vibes Bar & Lounge, LLC",37203,36.152794,-86.790305,400 days
205,20-26532,ONSALES,2020-03-09,2020-06-25,Belle Meade Meat & Three,37205,36.106953,-86.866945,401 days
206,20-26801,ONSALES,2020-05-25,2020-07-09,CRACKER BARREL OLD COUNTRY STORE #34,37209,36.129742,-86.90187,387 days
207,19-26050,ONSALES,2019-05-21,2019-10-11,AMBROSIA HOOKAH BAR AND LOUNGE,37207,36.229661,-86.760862,659 days
208,19-25982,ONSALES,2019-04-17,2019-10-11,LOS 3 VOLCANES,37115,36.249844,-86.719096,659 days
209,21-27094,ONSALES,2021-03-02,2021-07-29,CORNER ASIAN CAFE,37027,35.996656,-86.690092,2 days
210,20-26864,ONSALES,2020-08-03,2020-10-08,LOVELESS CAFE,37221,36.034799,-86.971834,296 days
211,20-26874,ONSALES,2020-08-11,2020-10-08,WINNER'S BAR & GRILL,37203,36.149747,-86.796996,296 days
212,19-26280,ONSALES,2019-09-24,2019-10-15,COLE'S KITCHEN,37215,36.10482,-86.816466,655 days
213,19-26244,SPECIAL,2019-09-05,2019-10-15,WHISKEY TABERNACLE & WINTER WARMER,37206,36.17332,-86.760862,655 days
214,20-26784,ONSALES,2020-05-22,2020-07-09,BAR LOUIE,37203,36.152933,-86.783719,387 days
215,19-26263,ONOFFSALES,2019-09-13,2020-07-09,THE TURNIP TRUCK,37209,36.151987,-86.847567,387 days
216,17-25312,ONSALES,2017-11-20,2019-02-04,"THE STILLERY, MIDTOWN",37203,36.149676,-86.797944,908 days
217,19-26283,SPECIAL,2019-09-25,2019-10-23,CENTENNIAL PARK CONSERVANCY GALA,37203,36.146893,-86.808533,647 days
218,20-26411,ONSALES,2020-01-02,2020-07-09,PENNE PAZZE,37209,36.152525,-86.83256,387 days
219,20-26916,ONSALES,2020-09-09,2020-10-09,LAKESIDE LOUNGE BNA,37206,36.175532,-86.755081,295 days
220,20-26831,ONSALES,2020-06-26,2020-10-12,PEACHTREE DRIVE-IN,37210,36.120491,-86.748993,292 days
221,19-25988,ONSALES,2019-04-23,2020-10-12,Moxy Nashville Vanderbilt,37212,36.136696,-86.798952,292 days
222,20-26825,ONSALES,2020-06-24,2020-10-12,THE LOST PADDY IRISH PUB & RESTAURANT,37217,36.137825,-86.723853,292 days
223,21-27254,ONSALES,2021-05-21,2021-07-29,RED BICYCLE COFFEE AND CREPES,37209,36.156203,-86.848781,2 days
224,20-26930,ONSALES,2020-09-23,2020-10-14,TACO EXPRESS,37211,36.086421,-86.74919,290 days
225,21-27184,ONSALES,2021-04-20,2021-07-29,TACOS 1989,37203,36.151629,-86.78041,2 days
226,21-27151,ONOFFSALES,2021-04-02,2021-07-29,BITE A BIT THAI SUSHI,37216,36.204913,-86.724051,2 days
227,19-26303,ONSALES,2019-10-04,2020-02-24,THE WILD COW,37206,36.174123,-86.750112,523 days
228,20-26778,ONSALES,2020-05-18,2020-07-10,HEARTS,37206,36.186792,-86.747045,386 days
229,20-26812,ONOFFSALES,2020-06-09,2020-07-14,THE GOAT SOBRO,37210,36.154106,-86.770275,382 days
230,20-26806,ONSALES,2020-05-28,2020-07-14,AVO,37209,36.152468,-86.820627,382 days
231,19-26209,ONOFFSALES,2019-08-16,2019-10-24,SPRINGHILL SUITES & RESIDENCE INN BY MARRIOTT,37203,36.152891,-86.796205,646 days
232,19-26221,ONSALES,2019-08-26,2019-10-24,CASA COUNTRY MEXICAN GRILL,37115,36.297669,-86.700837,646 days
233,20-26462,ONSALES,2020-01-31,2020-02-27,MIDNIGHT OIL,37209,36.16143,-86.849088,520 days
234,19-26382,ONSALES,2019-12-03,2020-02-27,CATIO CAT CAFE,37214,36.218524,-86.695398,520 days
235,20-26810,ONOFFSALES,2020-06-08,2020-07-10,THE BLACK ABBEY BREWING COMPANY,37204,36.105978,-86.755864,386 days
236,20-26517,ONSALES,2020-02-25,2020-07-27,LUCKY'S BAR AND GRILL,37214,36.157202,-86.634605,369 days
237,20-26742,ONSALES,2020-04-15,2020-07-28,SAINT ELLE,37210,36.14092,-86.762572,368 days
238,21-27087,ONSALES,2021-02-22,2021-07-29,BOSTON COMMONS,37206,36.177125,-86.750965,2 days
239,19-26268,ONSALES,2019-09-18,2019-10-24,AMC ANTIOCH 8,37013,36.049452,-86.651408,646 days
240,19-26105,ONOFFSALES,2019-06-24,2019-10-24,MOXY NASHVILLE  DOWNTOWN,37201,36.161034,-86.775618,646 days
241,19-26120,ONSALES,2019-06-27,2019-10-24,PARSON'S CHICKEN & FISH,37203,36.144004,-86.768727,646 days
242,19-26161,ONSALES,2019-07-23,2019-10-24,Las Fiestas Cafe Mexican Restaurant,37216,36.212911,-86.731631,646 days
243,19-26200,ONSALES,2019-08-12,2019-10-24,Big Bad Breakfast,37209,36.151707,-86.851671,646 days
244,19-26087,ONSALES,2019-06-11,2019-10-25,THAI ESANE,37203,36.15175,-86.79016,645 days
245,19-26155,ONSALES,2019-07-18,2019-10-25,Central BBQ,37203,36.162673,-86.790805,645 days
246,21-27172,ONOFFSALES,2021-04-14,2021-05-17,EXIT/IN/HURRY BACK,37203,36.151168,-86.804279,75 days
247,20-26431,SPECIAL,2020-01-15,2020-03-06,THE TRIPLE SIP - RONALD MCDONALD HOUSE CHARITIES OF NASHVILLE,37208,36.170329,-86.789522,512 days
248,19-26301,ONSALES,2019-10-03,2020-03-06,JONATHAN'S GRILLE,37201,36.170966,-86.78209,512 days
249,19-26166,ONOFFSALES,2019-07-24,2020-03-06,BOLD PATRIOT BREWING COMPANY,37209,36.152666,-86.833252,512 days
250,19-26400,ONSALES,2019-12-16,2020-03-06,Bowies,37201,36.163751,-86.777407,512 days
251,19-26379,ONSALES,2019-12-01,2020-03-06,LOS AMIGOS MEXICAN RESTAURANT,37076,36.215098,-86.595553,512 days
252,19-26146,ONOFFSALES,2019-07-15,2020-03-06,HOME2 SUITES/TRU by HILTON DUAL BRAND,37203,36.155537,-86.775182,512 days
253,20-26824,ONSALES,2020-06-24,2020-10-29,ELLISTON PLACE SODA SHOP,37203,36.152012,-86.803357,275 days
254,20-26770,ONSALES,2020-05-12,2020-10-29,BLUE CRAB SHACK THE VILLE,37115,36.269578,-86.71058,275 days
255,19-26393,ONSALES,2019-12-09,2020-03-12,MONTERREY MEXICAN RESTAURANT,37217,36.073224,-86.637434,506 days
256,20-26424,ONSALES,2020-01-13,2020-03-13,Hotel Indigo Nashville,37201,36.165552,-86.778585,505 days
257,19-26335,ONSALES,2019-10-24,2020-03-12,BJ HOT CHICKEN,37217,36.135117,-86.723998,506 days
258,19-26051,ONSALES,2019-05-22,2020-03-12,OPTIMIST,37208,36.181225,-86.784248,506 days
259,20-26516,ONSALES,2020-02-25,2020-03-12,THE WHISKEY SHOT,37201,36.1645,-86.778695,506 days
260,19-26387,ONOFFSALES,2019-12-04,2020-03-13,WHOLE FOODS MARKET,37203,36.156409,-86.787906,505 days
261,19-26362,ONSALES,2019-11-15,2020-03-13,CULTURE BAR AND LOUNGE,37115,36.254345,-86.71363,505 days
262,20-26927,ONSALES,2020-09-22,2020-10-29,CASA DE MONTECRISTO,37203,36.151629,-86.78041,275 days
263,19-26116,ONSALES,2019-06-25,2020-03-16,MOTHER'S RUIN,37208,36.17616,-86.790165,502 days
264,19-26355,ONOFFSALES,2019-11-06,2020-03-16,CRAZY GNOME BREWERY,37206,36.177305,-86.753713,502 days
265,21-27277,ONSALES,2021-06-07,2021-07-29,MEDUSA'S BAR AND BILLARDS,37211,36.067625,-86.718591,2 days
266,20-26876,ONSALES,2020-08-12,2020-10-29,TOOTH 'N NAIL CIGARS & ALE,37214,36.218524,-86.695398,275 days
267,20-26922,ONOFFSALES,2020-09-15,2020-10-29,LUCKY BASTARD SALOON,37203,36.160873,-86.777575,275 days
268,20-26957,ONSALES,2020-10-14,2020-11-02,CAMINO VIEJO MEXICAN BAR AND GRILL,37138,36.255811,-86.65395,271 days
269,20-26845,ONSALES,2020-07-08,2020-08-13,THE JOSEPH,37203,36.156542,-86.775863,352 days
270,20-26901,ONSALES,2020-09-01,2020-11-04,BLADE AND TIMBER,37203,36.131976,-86.773585,269 days
271,19-26240,ONOFFSALES,2019-09-04,2020-11-05,PORK BELLY TIPSY PIG,37135,35.982049,-86.617483,268 days
272,20-26750,ONSALES,2020-04-21,2020-11-06,"CORKY'S NASHVILLE, LLC",37209,36.144218,-86.872992,267 days
273,20-26859,ONSALES,2020-07-22,2020-11-19,UNION STATION HOTEL NASHVILLE,37203,36.157744,-86.784807,254 days
274,21-27220,ONSALES,2021-05-01,2021-07-29,SHOKKU RAMEN,37212,36.136843,-86.803173,2 days
275,20-26960,ONSALES,2020-10-14,2020-11-18,BOTTLE CAP,37204,36.126018,-86.789284,255 days
276,20-26782,ONSALES,2020-05-22,2020-08-13,CRACKER BARREL OLD COUNTRY STORE #13,37214,36.218001,-86.696085,352 days
277,20-26785,ONSALES,2020-05-25,2020-08-13,CRACKER BARREL OLD COUNTRY STORE #23,37214,36.153472,-86.626492,352 days
278,20-26950,ONSALES,2020-10-06,2020-11-19,CULTURE AND CO.,37209,36.152527,-86.832501,254 days
279,20-26866,ONSALES,2020-08-04,2020-11-19,LOGAN�S ROADHOUSE NASHVILLE OPRYLAND #520,37214,36.224256,-86.694766,254 days
280,20-26903,ONSALES,2020-09-03,2020-11-20,JUICY SEAFOOD VII INC,37211,36.085517,-86.728747,253 days
281,20-26813,ONSALES,2020-06-09,2020-08-14,G CATERING,37210,36.13414,-86.727948,351 days
282,20-26494,ONSALES,2020-02-14,2020-06-11,NUDIE'S HONKY TONK,37203,36.160882,-86.777552,415 days
283,19-26403,ONSALES,2019-12-19,2020-08-14,THE UNDERDOG,37216,36.206974,-86.736079,351 days
284,19-26369,ONSALES,2019-11-21,2020-08-14,"VIRGIN HOTELS NASHVILLE, LLC",37203,36.151678,-86.792944,351 days
285,20-26762,ONOFFSALES,2020-04-30,2020-08-14,VINYL TAP,37206,36.188755,-86.72951,351 days
286,20-26832,ONSALES,2020-06-26,2020-08-14,REPUBLIC,37201,36.162228,-86.775394,351 days
287,20-26540,ONSALES,2020-03-12,2020-08-14,CHIPOTLE MEXICAN GRILL #3336,37228,36.189057,-86.798445,351 days
288,20-26875,ONSALES,2020-08-11,2021-04-30,HYATT HOUSE NASHVILLE AIRPORT,37214,36.145545,-86.686214,92 days
289,20-26854,ONSALES,2020-07-14,2020-08-14,FONDA CUBILETE MEXICAN RESTAURANT,37211,36.113501,-86.746539,351 days
290,20-26423,ONSALES,2020-01-13,2020-11-23,FROTHY MONKEY,0,36.124525,-86.789621,250 days
291,20-26892,ONSALES,2020-08-26,2020-11-24,BOBBY'S IDLE HOUR TAVERN,37203,36.146823,-86.793267,249 days
292,21-27149,ONSALES,2021-04-01,2021-07-29,"LOLA NASHVILLE, LLC",37209,36.140974,-86.839192,2 days
293,20-26469,ONSALES,2020-02-04,2021-07-29,STRIKEOUT WINGZ,37211,36.117664,-86.748591,2 days
294,20-26951,ONSALES,2020-10-08,2020-12-03,DLS/SNITCH/VATOS TACOS,37219,36.164107,-86.779204,240 days
295,20-26737,ONSALES,2020-04-10,2020-12-03,WILDHORSE SALOON,37201,36.162577,-86.775632,240 days
296,20-26958,ONSALES,2020-10-14,2020-12-03,JANE'S ON TOP,37201,36.164654,-86.778001,240 days
297,19-26396,ONSALES,2019-12-11,2021-03-10,TOWNEPLACE SUITES NASHVILLE AIRPORT,37214,36.150275,-86.669588,143 days
298,19-26287,ONSALES,2019-09-30,2020-03-20,ONCE UPON A TIME IN FRANCE,37206,36.189621,-86.745794,498 days
299,20-26970,ONSALES,2020-11-05,2020-12-08,ARRIBA,37221,36.073068,-86.925303,235 days
300,20-26804,ONSALES,2020-05-28,2020-08-14,HAMPTON INN & SUITES CAPITOL VIEW,37203,36.164837,-86.792239,351 days
301,20-26783,ONSALES,2020-05-22,2020-08-14,BAR LOUIE,37221,36.080342,-86.944437,351 days
302,17-20418,ONSALES,2017-01-18,2017-02-09,Dinos Restaurant,37206,36.181191,-86.749469,1633 days
